"","SeqId","Target","ExternalCalibratorReference0x2ESL14381_8d0x2Exlsx","medianQCreplicate","madNQCreplicate","mLLOD","mULOD","RRCIratio","mLLOQ","mULOQ","n","L95ref_L90CI","L95ref_U90CI","L95ref","U95ref","U95ref_L90CI","U95ref_U90CI","ColNum"
"LIMP.II.5100.53.3","5100-53_3","LIMP II",337.132017872843,2.46,0.02,NA,NA,6.9844,NA,NA,168,2.525,2.558,2.549,2.786,2.767,2.801,1084
"MICB.5102.55.3","5102-55_3","MICB",859.013521505396,2.81,0.02,NA,NA,3.2297,NA,NA,168,2.633,2.695,2.661,3.246,3.19,3.36,1085
"MO2R1.5103.30.3","5103-30_3","MO2R1",1004.84713824658,3.15,0.03,NA,NA,6.6352,NA,NA,168,2.931,2.948,2.943,3.272,3.245,3.306,1086
"NKp46.5104.57.3","5104-57_3","NKp46",3467.36850452532,3.35,0.02,NA,NA,4.5745,NA,NA,168,3.256,3.29,3.276,3.753,3.692,3.808,1087
"Nogo.Receptor.5105.2.3","5105-2_3","Nogo Receptor",2131.57196671691,3.17,0.02,NA,NA,6.1006,NA,NA,168,3.064,3.179,3.157,3.609,3.578,3.633,1088
"NOTC2.5106.52.3","5106-52_3","NOTC2",2498.61878071788,2.69,0.04,NA,NA,5.9616,NA,NA,168,2.685,2.705,2.698,3.097,3.052,3.132,1089
"Notch.1.5107.7.2","5107-7_2","Notch 1",20114.0719820091,4.32,0.02,NA,NA,6.4869,NA,NA,168,4.138,4.173,4.155,4.44,4.416,4.462,1090
"Notch.3.5108.72.3","5108-72_3","Notch-3",692.946969842556,2.85,0.03,NA,NA,6.0967,NA,NA,168,2.69,2.742,2.727,3.092,3.072,3.13,1091
"Nr.CAM.5109.24.3","5109-24_3","Nr-CAM",18100.8929527076,4.17,0.03,NA,NA,5.4537,NA,NA,168,3.826,3.937,3.895,4.48,4.453,4.539,1092
"NRX1B.5110.84.3","5110-84_3","NRX1B",714.002939927844,2.81,0.02,NA,NA,3.5757,NA,NA,168,2.635,2.74,2.709,3.139,3.106,3.215,1093
"NRX3B.5111.15.3","5111-15_3","NRX3B",998.159627491724,2.97,0.02,NA,NA,5.2921,NA,NA,168,2.844,2.897,2.876,3.226,3.204,3.269,1094
"OX2G.5112.73.3","5112-73_3","OX2G",2390.01155148473,3.33,0.02,NA,NA,7.3319,NA,NA,168,3.138,3.24,3.209,3.654,3.637,3.677,1095
"Prolactin.Receptor.5114.65.3","5114-65_3","Prolactin Receptor",1404.10633892045,3.11,0.03,NA,NA,3.333,NA,NA,168,3.167,3.182,3.173,3.384,3.369,3.454,1096
"RELT.5115.31.3","5115-31_3","RELT",1503.14196609002,3.13,0.03,NA,NA,5.1703,NA,NA,168,2.925,3.012,2.985,3.483,3.451,3.537,1097
"ROBO2.5116.62.2","5116-62_2","ROBO2",4105.82088969913,3.66,0.01,NA,NA,7.33,NA,NA,168,3.477,3.513,3.496,3.771,3.762,3.798,1098
"ROBO3.5117.14.3","5117-14_3","ROBO3",283.139199579938,2.39,0.02,NA,NA,3.2959,NA,NA,168,2.463,2.497,2.484,2.656,2.644,2.705,1099
"RTN4.5118.74.2","5118-74_2","RTN4",49181.2995268307,4.66,0.03,NA,NA,4.0002,NA,NA,168,4.458,4.553,4.539,4.871,4.822,4.899,1100
"Semaphorin.6A.5122.52.3","5122-52_3","Semaphorin-6A",12251.802857418,4.15,0.05,NA,NA,6.3001,NA,NA,168,3.778,3.86,3.819,4.335,4.31,4.379,1101
"Semaphorin.6A.5122.92.2","5122-92_2","Semaphorin-6A",15570.4082590184,4.23,0.04,NA,NA,11.3427,NA,NA,168,3.886,3.974,3.945,4.424,4.409,4.432,1102
"sICAM.5.5124.69.3","5124-69_3","sICAM-5",577.962951195466,2.79,0.03,NA,NA,5.5874,NA,NA,168,2.534,2.587,2.563,2.988,2.966,3.04,1103
"SIG14.5125.6.3","5125-6_3","SIG14",15017.5815854126,4.27,0.02,NA,NA,6.1589,NA,NA,168,2.306,3.062,2.434,4.447,4.407,4.527,1104
"SLAF6.5128.53.3","5128-53_3","SLAF6",359.087262369451,2.52,0.02,NA,NA,4.4946,NA,NA,168,2.516,2.542,2.535,2.886,2.82,2.919,1105
"SREC.I.5129.12.3","5129-12_3","SREC-I",5134.52177502967,3.69,0.03,NA,NA,6.4522,NA,NA,168,3.717,3.758,3.748,4.272,4.225,4.308,1106
"SREC.II.5130.67.3","5130-67_3","SREC-II",464.301407281803,2.69,0.02,NA,NA,4.5741,NA,NA,168,2.627,2.678,2.655,2.862,2.846,2.886,1107
"TAJ.5131.15.3","5131-15_3","TAJ",1093.70450250796,2.92,0.02,NA,NA,4.6162,NA,NA,168,2.922,2.952,2.937,3.339,3.304,3.403,1108
"TCCR.5132.71.3","5132-71_3","TCCR",2053.99792251063,3.15,0.04,NA,NA,7.5928,NA,NA,168,3.081,3.15,3.132,3.473,3.45,3.483,1109
"TGF.b.R.II.5133.17.3","5133-17_3","TGF-b R II",1983.80965683651,3.73,0.03,NA,NA,5.1547,NA,NA,168,2.922,2.965,2.953,3.38,3.363,3.447,1110
"TIMD3.5134.52.2","5134-52_2","TIMD3",6437.24442804745,3.88,0.02,NA,NA,5.1762,NA,NA,168,3.615,3.694,3.669,4.2,4.147,4.244,1111
"TWEAKR.5138.50.3","5138-50_3","TWEAKR",650.728757754879,2.48,0.02,NA,NA,14.6939,NA,NA,168,2.507,2.526,2.517,2.912,2.895,2.923,1112
"UNC5H3.5139.32.3","5139-32_3","UNC5H3",3879.71657293691,3.57,0.02,NA,NA,4.2877,NA,NA,168,3.376,3.45,3.418,3.826,3.799,3.89,1113
"UNC5H4.5140.56.3","5140-56_3","UNC5H4",6322.66249929688,3.72,0.03,NA,NA,7.4751,NA,NA,168,3.369,3.478,3.445,4.091,4.056,4.123,1114
"PDE7A.5178.5.3","5178-5_3","PDE7A",392.012576295165,2.37,0.02,NA,NA,5.2252,NA,NA,168,2.475,2.511,2.498,2.778,2.745,2.806,1115
"AMPK.a1b1g1.5183.53.3","5183-53_3","AMPK a1b1g1",401.420918204321,2.51,0.01,NA,NA,4.2331,NA,NA,168,2.636,2.651,2.644,2.865,2.839,2.911,1116
"K.ras.5193.51.3","5193-51_3","K-ras",1122.79378495093,3,0.02,NA,NA,8.2602,NA,NA,168,2.852,2.895,2.869,3.256,3.244,3.287,1117
"NMT1.5196.7.3","5196-7_3","NMT1",1028.48982615265,3.06,0.03,NA,NA,9.0308,NA,NA,168,3.189,3.259,3.234,4.143,4.115,4.189,1118
"PDE9A.5201.50.4","5201-50_4","PDE9A",993.116048420934,2.8,0.05,2.845,NA,3.6957,NA,NA,37,2.845,2.845,2.845,2.987,2.951,3.017,1119
"PPID.5202.4.3","5202-4_3","PPID",370.510056301924,2.88,0.03,NA,NA,11.0688,NA,NA,168,2.879,3.129,3.058,4.472,4.432,4.5,1120
"PSME3.5204.13.3","5204-13_3","PSME3",322.255248988791,2.44,0.02,NA,NA,5.7549,NA,NA,168,2.521,2.558,2.551,2.88,2.852,2.915,1121
"GCKR.MACFA.5215.53.3","5215-53_3","GCKR_MACFA",705.829815859823,2.8,0.03,2.976,NA,2.3266,NA,NA,29,2.976,2.976,2.976,3.051,3.025,3.084,1122
"PCSK9.MOUSE.5216.2.3","5216-2_3","PCSK9_MOUSE",276.121357594945,NA,NA,NA,NA,3.9779,NA,NA,168,2.369,2.404,2.394,2.67,2.628,2.712,1123
"GCKR.5223.59.3","5223-59_3","GCKR",548.403224893138,2.64,0.02,NA,NA,6.9305,NA,NA,168,2.732,2.755,2.744,3.095,3.06,3.119,1124
"CSK21.5224.20.3","5224-20_3","CSK21",200.770545969039,2.36,0.06,2.55,NA,1.2071,NA,NA,22,2.55,2.55,2.55,2.593,2.578,2.643,1125
"CK2.A1.B.5225.50.3","5225-50_3","CK2-A1:B",2681.63706676073,3.43,0.04,NA,NA,12.1013,NA,NA,168,3.529,3.68,3.632,4.639,4.611,4.662,1126
"CK2.A2.B.5226.36.3","5226-36_3","CK2-A2:B",399.024902362142,2.41,0.04,NA,NA,4.1705,NA,NA,168,2.525,2.606,2.57,3.359,3.312,3.462,1127
"PDK1.5227.60.3","5227-60_3","PDK1",1160.37937261391,3.01,0.04,NA,NA,5.6877,NA,NA,168,3.043,3.107,3.085,4.075,3.998,4.131,1128
"KIF23.5228.25.2","5228-25_2","KIF23",417.157446120627,2.53,0.03,NA,NA,7.2614,NA,NA,168,2.659,2.696,2.674,3.273,3.239,3.318,1129
"IMDH1.5229.90.3","5229-90_3","IMDH1",919.390474803981,3,0.02,NA,NA,9.1136,NA,NA,168,3.117,3.206,3.152,3.98,3.963,4.028,1130
"HMGR.5230.99.3","5230-99_3","HMGR",351.07507718483,2.47,0.02,NA,NA,6.3964,NA,NA,168,2.386,2.444,2.432,2.806,2.787,2.841,1131
"PCSK9.5231.79.3","5231-79_3","PCSK9",1246.23516048651,3.15,0.04,NA,NA,5.3249,NA,NA,168,2.889,2.995,2.953,3.404,3.384,3.45,1132
"NR1D1.5236.2.3","5236-2_3","NR1D1",465.050376166606,2.38,0.02,NA,NA,4.5073,NA,NA,168,2.508,2.547,2.526,2.793,2.754,2.822,1133
"PPIF.MOUSE.5237.55.3","5237-55_3","PPIF_MOUSE",445.143462920113,NA,NA,NA,NA,15.4142,NA,NA,168,3.029,3.2,3.11,4.176,4.154,4.191,1134
"PPIE.5238.26.3","5238-26_3","PPIE",405.695322036045,2.6,0.02,NA,NA,5.5808,NA,NA,168,2.748,2.812,2.791,3.592,3.584,3.693,1135
"MP2K4.5242.37.3","5242-37_3","MP2K4",73130.7453862483,4.64,0.03,NA,NA,5.258,NA,NA,168,4.546,4.618,4.591,5.145,5.095,5.194,1136
"AMPK.a2b2g1.5245.40.5","5245-40_5","AMPK a2b2g1",785.959196518191,2.95,0.03,NA,NA,7.0072,NA,NA,168,3.159,3.27,3.214,4.419,4.388,4.491,1137
"cGMP.stimulated.PDE.5246.64.3","5246-64_3","cGMP-stimulated PDE",3661.84535945298,3.51,0.07,3.948,3.657,3.3384,NA,NA,168,3.556,3.604,3.582,4.01,3.952,4.093,1138
"Cyclophilin.A.5247.17.4","5247-17_4","Cyclophilin A",731.475863014725,2.92,0.03,NA,NA,4.3951,NA,NA,168,3.02,3.11,3.068,4.139,4.088,4.249,1139
"Cyclophilin.F.5248.68.2","5248-68_2","Cyclophilin F",1948.04955329077,3.48,0.04,NA,NA,6.8174,NA,NA,168,3.686,3.895,3.774,4.94,4.928,5.023,1140
"DRAK2.5249.31.3","5249-31_3","DRAK2",3845.03236709481,3.53,0.04,NA,NA,3.7557,NA,NA,168,3.642,3.677,3.665,3.931,3.914,3.997,1141
"IMDH2.5250.53.3","5250-53_3","IMDH2",1661.49867776666,3.24,0.04,NA,NA,7.7964,NA,NA,168,3.276,3.316,3.298,3.853,3.824,3.892,1142
"PDE11.5252.33.3","5252-33_3","PDE11",1390.27271648398,3.18,0.02,NA,NA,6.6022,NA,NA,168,3.106,3.206,3.171,3.941,3.888,3.982,1143
"PDE3A.5254.69.3","5254-69_3","PDE3A",1086.17549367089,2.98,0.03,NA,NA,4.4408,NA,NA,168,3.063,3.155,3.14,3.534,3.522,3.599,1144
"PDE4D.5255.22.3","5255-22_3","PDE4D",1028.96357229675,3.01,0.05,3.197,NA,0.63868,NA,NA,16,3.197,3.197,3.197,3.224,3.199,3.278,1145
"PDE5A.5256.86.3","5256-86_3","PDE5A",2479.7048987987,3.61,0.03,NA,NA,27.4489,NA,NA,168,3.715,3.836,3.767,4.838,4.829,4.847,1146
"TAK1.TAB1.5259.2.3","5259-2_3","TAK1-TAB1",1632.67596707526,3.21,0.05,NA,NA,5.7548,NA,NA,168,3.254,3.31,3.292,3.755,3.734,3.811,1147
"TYK2.5260.80.3","5260-80_3","TYK2",3656.78982617325,3.58,0.05,3.916,NA,3.0938,NA,NA,30,3.916,3.916,3.916,4.042,4.02,4.089,1148
"ABL2.5261.13.3","5261-13_3","ABL2",814.141700570774,2.88,0.04,3.201,NA,2.1943,NA,NA,23,3.201,3.201,3.201,3.275,3.237,3.3,1149
"BCAR3.5262.57.3","5262-57_3","BCAR3",1786.89897618043,3.04,0.03,3.311,NA,2.3747,NA,NA,26,3.311,3.311,3.311,3.354,3.34,3.374,1150
"calreticulin.5264.65.3","5264-65_3","calreticulin",1702.94256187755,3.08,0.04,3.368,NA,8.8581,NA,NA,32,3.371,3.373,3.371,3.518,3.495,3.523,1151
"GRB2.related.adapter.protein.2.5265.12.3","5265-12_3","GRB2-related adapter protein 2",610.098560085049,2.91,0.03,2.972,NA,5.9979,NA,NA,29,2.975,2.976,2.975,3.117,3.082,3.123,1152
"MMP.16.5268.49.3","5268-49_3","MMP-16",700.809531646794,2.86,0.02,3.013,NA,1.5866,NA,NA,46,3.013,3.013,3.013,3.114,3.033,3.152,1153
"SHC1.5272.55.2","5272-55_2","SHC1",3010.925432053,3.52,0.02,NA,NA,12.2874,NA,NA,168,3.69,3.769,3.731,4.591,4.562,4.612,1154
"GHC2.5280.68.5","5280-68_5","GHC2",485.847530937493,2.65,0.03,2.874,NA,5.2074,NA,NA,28,2.882,2.885,2.882,2.999,2.961,3,1155
"Eotaxin.5301.7.3","5301-7_3","Eotaxin",12039.2657221601,4.02,0.02,NA,NA,5.5041,NA,NA,168,3.788,3.874,3.833,4.436,4.408,4.501,1156
"Coagulation.Factor.IXab.5307.12.3","5307-12_3","Coagulation Factor IXab",11127.5614173052,4.08,0.02,NA,NA,7.4237,NA,NA,168,3.935,3.982,3.968,4.198,4.191,4.213,1157
"Elastase.5308.89.2","5308-89_2","Elastase",376.183722791328,2.69,0.03,NA,NA,7.549,NA,NA,168,2.604,2.619,2.613,2.931,2.902,2.954,1158
"Apo.E2.5312.49.3","5312-49_3","Apo E2",247229.334606234,5.43,0.04,5.465,5.298,5.8717,NA,NA,168,5.24,5.274,5.257,5.524,5.505,5.554,1159
"Prothrombin.5316.54.3","5316-54_3","Prothrombin",182053.905481113,5.28,0.04,5.342,5.182,3.5162,NA,NA,168,5.163,5.203,5.193,5.34,5.325,5.367,1160
"CD70.5317.3.3","5317-3_3","CD70",1592.94213512763,3.19,0.07,NA,NA,5.1613,NA,NA,168,3.17,3.243,3.209,3.694,3.647,3.736,1161
"annexin.VI.5335.73.3","5335-73_3","annexin VI",11457.7673591711,3.52,0.04,NA,NA,11.2657,NA,NA,168,3.076,3.228,3.149,4.435,4.406,4.47,1162
"B7.2.5337.64.3","5337-64_3","B7-2",720.11192024979,2.9,0.04,NA,NA,6.17,NA,NA,168,2.631,2.687,2.66,3.09,3.047,3.116,1163
"calgranulin.B.5339.49.3","5339-49_3","calgranulin B",3341.18097633043,3.68,0.03,NA,NA,5.3306,NA,NA,168,3.495,3.608,3.548,4.11,4.078,4.163,1164
"Caspase.10.5340.24.3","5340-24_3","Caspase-10",3786.16904103359,3.53,0.02,NA,NA,3.9685,NA,NA,168,3.571,3.606,3.592,3.796,3.775,3.834,1165
"CBPE.5343.74.3","5343-74_3","CBPE",1716.7221078581,3.13,0.03,NA,NA,6.5347,NA,NA,168,3.066,3.113,3.094,3.434,3.419,3.469,1166
"CKAP2.5345.51.3","5345-51_3","CKAP2",17554.9662962123,4.26,0.06,4.522,4.263,4.4703,NA,NA,168,4.092,4.227,4.19,4.544,4.52,4.572,1167
"CPNE1.5346.24.3","5346-24_3","CPNE1",655.239394015981,2.84,0.02,NA,NA,5.0054,NA,NA,168,2.618,2.976,2.9,4.285,4.24,4.385,1168
"Cyclin.B1.5347.59.3","5347-59_3","Cyclin B1",278.419724888356,2.39,0.03,NA,NA,5.7884,NA,NA,168,2.406,2.452,2.435,2.777,2.752,2.813,1169
"DLL1.5349.69.3","5349-69_3","DLL1",1634.93315112983,3.26,0.02,NA,NA,5.3889,NA,NA,168,3.146,3.192,3.171,3.448,3.424,3.476,1170
"hnRNP.A2.B1.5351.52.3","5351-52_3","hnRNP A2/B1",1904.14492684038,3.22,0.01,NA,NA,8.5824,NA,NA,168,3.256,3.316,3.294,3.805,3.782,3.833,1171
"HVEM.5352.11.3","5352-11_3","HVEM",408.883890267698,2.73,0.02,NA,NA,5.2364,NA,NA,168,2.547,2.591,2.565,2.904,2.856,2.928,1172
"Keratin.18.5354.11.3","5354-11_3","Keratin 18",470.868892344273,2.42,0.03,NA,NA,5.1104,NA,NA,168,2.514,2.545,2.527,2.917,2.873,2.961,1173
"LIGHT.5355.69.3","5355-69_3","LIGHT",671.274268517048,2.71,0.03,NA,NA,3.299,NA,NA,168,2.618,2.662,2.648,3.062,3.047,3.176,1174
"MIF.5356.2.3","5356-2_3","MIF",741.480953945273,2.87,0.03,NA,NA,5.7393,NA,NA,168,2.961,2.993,2.98,3.651,3.624,3.73,1175
"NLGNX.5357.60.3","5357-60_3","NLGNX",720.277751238341,2.7,0.02,NA,NA,11.5626,NA,NA,168,2.683,2.71,2.692,3.159,3.144,3.183,1176
"OMD.5358.3.3","5358-3_3","OMD",10313.3557830438,3.95,0.03,NA,NA,5.7288,NA,NA,168,3.575,3.676,3.631,4.201,4.164,4.247,1177
"PIM1.5359.65.3","5359-65_3","PIM1",531.25129290366,2.66,0.03,2.872,NA,4.087,NA,NA,39,2.872,2.872,2.872,2.973,2.95,2.994,1178
"Semaphorin.3E.5363.51.3","5363-51_3","Semaphorin 3E",2318.99600250505,3.29,0.02,NA,NA,4.1903,NA,NA,168,2.955,3.109,3.054,3.691,3.665,3.781,1179
"SET.5364.7.3","5364-7_3","SET",662.521535902583,2.86,0.03,NA,NA,4.8934,NA,NA,168,2.761,2.819,2.8,3.019,3.003,3.038,1180
"BAFF.Receptor.5383.14.3","5383-14_3","BAFF Receptor",1062.67386540247,2.98,0.05,3.245,NA,1.7065,NA,NA,26,3.245,3.245,3.245,3.323,3.292,3.373,1181
"BRF.1.5384.67.3","5384-67_3","BRF-1",655.08853693861,2.79,0.05,3.086,NA,2.3975,NA,NA,22,3.086,3.086,3.086,3.171,3.135,3.2,1182
"sLeptin.R.5400.52.3","5400-52_3","sLeptin R",2316.86111155916,2.52,0.02,NA,NA,10.66,NA,NA,168,2.96,3.054,3.003,3.617,3.603,3.641,1183
"DR6.5404.53.3","5404-53_3","DR6",6510.28498434861,3.83,0.02,NA,NA,8.2595,NA,NA,168,3.627,3.674,3.656,4.02,4.005,4.043,1184
"CAD15.5410.53.3","5410-53_3","CAD15",4537.32616937941,3.57,0.05,3.906,3.706,3.7429,NA,NA,168,3.633,3.693,3.675,3.931,3.908,3.977,1185
"CD27.5412.53.3","5412-53_3","CD27",5079.25480365021,3.72,0.03,3.834,3.707,3.7363,NA,NA,168,3.595,3.675,3.653,3.878,3.844,3.893,1186
"RANK.5424.55.3","5424-55_3","RANK",1270.57410520854,3.34,0.04,3.369,NA,2.6118,NA,NA,30,3.369,3.369,3.369,3.471,3.45,3.518,1187
"FABPH.RAT.5437.63.3","5437-63_3","FABPH_RAT",13781.6114014961,NA,NA,NA,NA,5.6197,NA,NA,168,3.753,3.903,3.842,4.688,4.646,4.755,1188
"NGAL.RAT.5439.51.3","5439-51_3","NGAL_RAT",27.9511705399184,NA,NA,NA,NA,5.0053,NA,NA,168,1.373,1.393,1.382,1.896,1.835,1.95,1189
"TNNI2.RAT.5440.26.3","5440-26_3","TNNI2_RAT",9981.59627491724,NA,NA,NA,NA,8.5502,NA,NA,168,3.421,3.52,3.487,4.374,4.323,4.401,1190
"TNNI3.RAT.5441.67.3","5441-67_3","TNNI3_RAT",327.944234432135,NA,NA,NA,NA,6.9791,NA,NA,168,2.444,2.485,2.467,2.853,2.824,2.881,1191
"ANF.RAT.5443.62.2","5443-62_2","ANF_RAT",501.302649539805,NA,NA,NA,NA,4.4484,NA,NA,168,2.677,2.693,2.686,3.024,2.992,3.087,1192
"ALCAM.5451.1.3","5451-1_3","ALCAM",14203.6512404801,4.14,0.01,NA,NA,7.7761,NA,NA,168,3.971,4.036,4.021,4.366,4.34,4.374,1193
"CYTN.5459.33.3","5459-33_3","CYTN",1308.5791612451,2.98,0.02,NA,NA,5.4997,NA,NA,168,2.568,2.685,2.632,3.442,3.404,3.515,1194
"IL.17.RC.5468.67.3","5468-67_3","IL-17 RC",848.594084500823,2.84,0.02,NA,NA,4.3258,NA,NA,168,2.743,2.824,2.782,3.146,3.108,3.186,1195
"PKC.B.II.5475.10.3","5475-10_3","PKC-B-II",408.601540813823,3.03,0.03,NA,NA,5.8467,NA,NA,168,3.1,3.331,3.258,4.706,4.64,4.775,1196
"PKC.G.5476.66.3","5476-66_3","PKC-G",531.740818827143,2.69,0.03,NA,NA,4.5339,NA,NA,168,2.658,2.714,2.689,3.101,3.069,3.162,1197
"SLAF7.5487.7.3","5487-7_3","SLAF7",74696.4565078008,4.7,0.04,NA,NA,3.9099,NA,NA,168,4.295,4.49,4.457,5.168,5.103,5.246,1198
"SRCN1.5488.74.3","5488-74_3","SRCN1",2200.3917096374,3.79,0.04,NA,NA,12.9601,NA,NA,168,3.93,4.131,4.042,5.087,5.073,5.116,1199
"Stress.induced.phosphoprotein.1.5489.18.3","5489-18_3","Stress-induced-phosphoprotein 1",2705.20386971935,3.43,0.04,NA,NA,3.6666,NA,NA,168,3.468,3.573,3.53,4.56,4.512,4.696,1200
"Testican.1.5490.53.3","5490-53_3","Testican-1",1629.29603263972,3.24,0.03,NA,NA,5.5707,NA,NA,168,3.239,3.291,3.274,3.855,3.81,3.91,1201
"Testican.2.5491.12.3","5491-12_3","Testican-2",891.045743646114,2.88,0.02,NA,NA,5.9552,NA,NA,168,2.623,2.748,2.692,3.13,3.108,3.155,1202
"RUXF.5494.52.3","5494-52_3","RUXF",2239.75234517842,3.33,0.03,NA,NA,5.6091,NA,NA,168,3.269,3.333,3.316,3.585,3.575,3.612,1203
